2|45714|0|bgp
2|52685|-1|bgp
3|293|0|bgp
3|23248|-1|bgp
3|133296|0|bgp
3|265301|-1|bgp
5|28599|-1|bgp
5|52352|0|bgp
5|262879|-1|bgp
5|265048|-1|bgp
5|265316|-1|bgp
10|46392|0|bgp
12|54965|-1|bgp
13|1508|0|bgp
24|293|0|bgp
24|2153|0|bgp
24|7575|0|bgp
24|10343|-1|bgp
24|22388|0|bgp
32|3671|-1|bgp
32|46750|-1|bgp
34|2|-1|bgp
34|30641|-1|bgp
35|5691|-1|bgp
42|27|-1|bgp
42|187|-1|bgp
42|260|0|mlp
42|286|0|bgp,mlp
42|293|0|bgp
42|553|0|bgp
42|680|0|bgp
42|701|0|bgp
42|715|-1|bgp
42|852|0|bgp
42|1103|0|bgp,mlp
42|1248|0|mlp
42|1257|0|bgp
42|1267|0|bgp,mlp
2|45714|0|bgp
2|52685|-1|bgp
3|293|0|bgp
3|23248|-1|bgp
3|133296|0|bgp
3|265301|-1|bgp
5|28599|-1|bgp
5|52352|0|bgp
5|262879|-1|bgp
5|265048|-1|bgp
5|265316|-1|bgp
10|46392|0|bgp
12|54965|-1|bgp
264952|2|-1|bgp
264582|2|-1|bgp
197592|2|-1|bgp
61787|2|-1
60777|2|-1
53145|2|-1
41837|2|-1
394432|3|-1|bgp
266491|3|-1|bgp
265636|3|-1|bgp
265134|3|-1|bgp
262854|3|-1|bgp
262690|3|-1|bgp
204008|3|-1|bgp
13|1508|0|bgp
24|293|0|bgp
24|2153|0|bgp
24|7575|0|bgp
24|10343|-1|bgp
24|22388|0|bgp
32|3671|-1|bgp
32|46750|-1|bgp
34|2|-1|bgp
197218|3|-1|bgp
34|30641|-1|bgp
